metal_initial_conc,metal_mmol,K2CO3_initial_conc,rate,precipitation_order,single phase,uncertainty
0.8,0.2,0.1,2,0,1.0,0.9996589843163799
1.0,0.2,0.40000000000000013,3,0,1.0,0.9986354032021445
2.0,0.8,0.45000000000000007,6,0,1.0,0.9982746368664676
2.6000000000000005,0.2,0.15000000000000002,3,1,1.0,0.9981809224824176
2.4000000000000004,0.4,0.30000000000000004,1,0,1.0,0.9980820198635176
3.0000000000000004,0.2,0.30000000000000004,1,1,1.0,0.997649925075731
1.4000000000000001,1.4000000000000001,0.3500000000000001,6,0,1.0,0.9975873014352318
1.2,0.2,0.45000000000000007,4,0,1.0,0.9975605830140792
2.6000000000000005,0.4,0.1,1,0,1.0,0.9973072071123993
0.6000000000000001,0.2,0.25000000000000006,2,0,1.0,0.997009119944444
2.2,1.0,0.1,1,1,1.0,0.9969614050935496
1.4000000000000001,1.2,0.1,1,1,1.0,0.9969515039416466
1.6,0.2,0.20000000000000004,3,1,1.0,0.9969052724415963
1.0,0.2,0.30000000000000004,2,0,1.0,0.9967376768812408
2.2,0.4,0.15000000000000002,1,0,1.0,0.9966388763114505
0.6000000000000001,0.4,0.25000000000000006,2,1,1.0,0.9966163524981465
1.0,0.8,0.15000000000000002,2,1,1.0,0.9965854438739794
0.2,1.0,0.45000000000000007,4,0,1.0,0.9958634511626809
0.6000000000000001,0.6000000000000001,0.1,1,0,1.0,0.9957609976234089
1.8,0.6000000000000001,0.3500000000000001,6,0,1.0,0.9953241105942436
0.8,0.8,0.25000000000000006,6,0,1.0,0.9951472349269262
2.4000000000000004,0.2,0.3500000000000001,1,1,1.0,0.9949103580352854
2.2,0.4,0.30000000000000004,1,0,1.0,0.9948147931048245
0.8,0.8,0.45000000000000007,4,0,1.0,0.9947754584665042
0.8,0.6000000000000001,0.20000000000000004,2,1,1.0,0.9947433148922422
0.2,0.4,0.40000000000000013,4,0,1.0,0.9945121985772352
1.8,0.6000000000000001,0.40000000000000013,7,0,1.0,0.9943102126810008
0.4,1.2,0.3500000000000001,8,0,1.0,0.993331198191792
1.4000000000000001,0.2,0.45000000000000007,1,1,1.0,0.9933184915340671
1.0,0.2,0.30000000000000004,2,1,1.0,0.9932426059773056
1.4000000000000001,0.2,0.1,4,1,1.0,0.9924395091770769
1.4000000000000001,0.4,0.15000000000000002,3,1,1.0,0.9924314589614809
0.2,0.2,0.45000000000000007,7,0,1.0,0.9923565252014033
1.8,1.2,0.45000000000000007,6,0,1.0,0.9923100741272453
0.4,0.6000000000000001,0.3500000000000001,8,0,1.0,0.9920460001293718
2.0,0.4,0.45000000000000007,2,0,1.0,0.991976133830141
2.0,0.4,0.15000000000000002,1,0,1.0,0.9919341007765891
1.6,0.8,0.30000000000000004,7,0,1.0,0.991796584287752
0.8,0.6000000000000001,0.3500000000000001,8,0,1.0,0.9917026203312665
0.2,0.2,0.3500000000000001,2,1,1.0,0.991207761639022
1.4000000000000001,0.4,0.20000000000000004,1,0,1.0,0.9908869676127362
0.4,0.2,0.20000000000000004,2,0,1.0,0.9908303382076646
0.8,1.2,0.3500000000000001,8,0,1.0,0.9908281832687834
1.2,0.8,0.30000000000000004,5,0,1.0,0.9905811080719925
2.0,0.8,0.1,2,1,1.0,0.990542518542173
0.6000000000000001,0.2,0.45000000000000007,7,0,1.0,0.9903147528226416
1.6,0.2,0.40000000000000013,1,1,1.0,0.9902798097299591
1.4000000000000001,1.4000000000000001,0.45000000000000007,6,0,1.0,0.989463909030042
1.2,1.4000000000000001,0.3500000000000001,7,0,1.0,0.9893826151763969
1.4000000000000001,1.0,0.40000000000000013,8,0,1.0,0.9893617210836398
0.2,0.6000000000000001,0.25000000000000006,1,0,1.0,0.9893610451092082
2.0,0.4,0.30000000000000004,1,0,1.0,0.9892557872792862
1.4000000000000001,0.4,0.30000000000000004,1,1,1.0,0.9890599662501236
1.4000000000000001,1.2,0.30000000000000004,7,0,1.0,0.9889377423120783
2.4000000000000004,0.4,0.1,1,0,1.0,0.9884510516801306
1.4000000000000001,0.4,0.25000000000000006,1,0,1.0,0.988345463974553
0.4,0.2,0.45000000000000007,7,0,1.0,0.9877722632893129
3.0000000000000004,0.2,0.40000000000000013,2,0,1.0,0.9874611640564824
1.0,1.0,0.25000000000000006,6,0,1.0,0.9874135257814448
3.0000000000000004,0.6000000000000001,0.45000000000000007,1,0,1.0,0.9873302292332099
1.4000000000000001,0.8,0.40000000000000013,8,0,1.0,0.987312258973593
2.8000000000000003,0.2,0.1,3,1,1.0,0.986864981951103
2.2,0.4,0.20000000000000004,2,1,1.0,0.9864618588658226
2.6000000000000005,0.4,0.25000000000000006,1,1,1.0,0.9862742301406582
